Action,Name,Points,GameMode,Timestamp
TriggerXAssertsByTestsAchievement,Assert and Tested,0,LEADERBOARD,2025-11-18 09:59:30.591
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-18 09:59:31.13
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-18 10:05:41.522
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-18 10:05:44.962
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-18 10:07:27.344
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-11-18 10:09:03.753
TriggerXAssertsByTestsAchievement,Assert and Tested,5,LEADERBOARD,2025-11-18 10:09:06.296
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-18 10:09:06.84
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-18 10:10:03.371
TriggerXAssertsByTestsAchievement,Assert and Tested,7,LEADERBOARD,2025-11-18 10:10:05.852
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-18 10:10:06.385
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-18 10:10:33.754
TriggerXAssertsByTestsAchievement,Assert and Tested,9,LEADERBOARD,2025-11-18 10:10:36.367
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-18 10:10:36.722
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-18 10:14:17.997
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-18 10:14:21.108
TriggerXAssertsByTestsAchievement,Assert and Tested,10,LEADERBOARD,2025-11-18 10:14:57.608
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-18 10:14:58.13
